id,logo_path,name,origin_country
118377,,Anima Pictures,
128021,,Desert Motion Pictures,
15578,,Thai Occidental Productions,
2147,/yV2P6SlxuicJTwUvUUqoOBAEreC.png,Echo Lake Entertainment,US
69686,,Mazur / Kaplan Company,
115700,,Metalwork Pictures,
132624,,Apple TV+,
122699,,iQIYI Pictures,
131204,,Lux Populi Production,FR
69916,,Ace Entertainment,
129066,,All The Boys Productions,
63484,/aVLlAODQm57VkgqWlVAOGiy8zs0.png,Awesomeness Films,US
122322,,Paramount Pictures,
779,/KFFOFoztyjV5epvnW5GerPbcvx.png,Lucky Red,IT
115535,/setvgyNXRVnF3w6DH5d9dcdywmd.png,Vision Distribution,IT
133064,/370svOR6khpfgTjiMhEVSv3ejPb.png,Magol Films,US
133065,/e9Cv9doQqh8Pq3d16S8wjwYrgE9.png,Cárbara Films,US
420,/hUzeosd33nzE5MCNsZxCGEKTXaQ.png,Marvel Studios,US
8881,,Zak Productions,
133136,,Cinesite,
107182,,Clear Angle Studios,
31825,,Digital Domain,US
73585,,Trixter Film,
8805,/vrpvFCl4DqYk5npjTyPJ8amBgsA.png,Industrial Light & Magic,US
86561,,Stereo D,
132796,,Anamorphic Media,
92116,,Trilight Entertainment,CA
132797,,Woolfcub Productions,
8762,,Constance Marks Productions,
164,/v3zcUepvKC7Vz36yjklk1rw6k8Q.png,Rhombus Media,CA
10290,/imFSHWEIgpk3YjqIMxafZ6BYT9H.png,BCDF Pictures,US
3672,/5VWXJgYYrJZUE0hixvBdVfGSfmo.png,Gotham Group,US
107188,,Hahnscape Entertainment,
10761,,Danjaq,US
21,/mjofSXiHpG5t6KYmU4l4FrUhT7m.png,Metro-Goldwyn-Mayer,US
60,/oJXpAs4I3W46e4dkaOEzCa4yBko.png,United Artists,US
12648,,Labyrinthe Films,FR
19037,/xhAYgpFmJfcCVLV5NMD8QKvqqHc.png,Umedia,BE
122147,,Higher Ground Productions,US
106497,,Artists First,US
120554,,Papito Produzioni,
2683,/mOL2WcHtox2urbUf1oJvjw7kz01.png,Rai Cinema,IT
2715,,Amka Films,CH
105863,,QMI,
76991,/pQjdvbv4y9yuIDSHDEHc9ijJKaS.png,Highland Film Group,US
30131,,Southpaw Entertainment,
102837,,White Comet Films,
131904,,Grand Valley Productions,
52258,,Ananã Produções,BR
35613,,Millman Productions,
84624,/mY4SMEplDeqrLF2kBLShp4qJSvK.png,Proportion Productions,GB
22564,,Solar Filmworks,US
2690,/9XXpd39mDfkWmcNB6R0tpvzo781.png,Screen Yorkshire,GB
7981,/6Yv1gIAuGkHS5Vis4UjnqHhCPWV.png,Pathé!,FR
9036,,Taylor Lane Productions,
49968,/d74xevT5HfJN1TODKbtm6vNW1wK.png,Will Packer Productions,US
133897,,Shifted Industry,
133898,,Thirty Five Media,
4343,/rXq1B1Hnkdnw6soz1zoGcslK3wb.png,Showtime Networks,US
124277,,May 3rd Films,
81794,/7mIfopwJnw4RJSHq4FI5lhRe89w.png,Rumble Films,US
75023,,Subotica,IE
112698,,A Fabrica,
129999,,Edge Films,
15352,,Full Moon Features,
923,/5UQsZrfbfG2dYJbx8DxfoTr2Bvu.png,Legendary Entertainment,US
120830,,Villeneuve Films,CA
130336,,ANIMA,JP
8921,,United Plankton Pictures,
2348,/m31fQvZJuUvAgxoqTiCGYFBfZYe.png,Nickelodeon Movies,US
63369,,Elevated Films,US
76423,,Little Red Hen,
36109,/wca0Jcidf2N1KAPicYMjGoKOmYu.png,The Fyzz,GB
29312,,Sunday Night,US
57747,,Agidi,
6246,,Medusa Film,IT
119498,,Fondazione Apulia Film Commission,
1311,/ic2bTizdzRLDVzAvN7MXdUg3WQV.png,The Asylum,US
11068,/jOdUllzDZRFy0tPIFDEwpP4Mpv4.png,Nostromo Pictures,ES
76049,/tam9pIV4QK1ZPwdxBgtVkK1WTYC.png,Cinema Fund,RU
3451,/53lT8VOQ9JDiPGYLvjgO42Av58I.png,Art Pictures Studio,RU
100821,,Vodorod,RU
10339,/oiIi36MaWXwvvHWX5eojoE2Fiyv.png,WWE Studios,US
89435,,Pacific Electric Picture Company,
56435,,Lumière & Co.,IT
14016,/snclwsIZQbgvqYCBJP8fqNlCA5y.png,Ministero per i Beni e le Attività Culturali,IT
20416,,Regione Lazio,
12219,/2ddXaM0AHMpAl3tmwfbwyjP6SP.png,Cinereach,US
2813,,Forensic Films,
103536,,Symbolic Exchange,US
19632,/q2kFlMm4C9UTWgSrJA6iSmDvWMI.png,3311 Productions,US
124473,,Level Forward,
132893,,Bellmer Pictures,
132894,,JJ Homeward Productions,
42811,/2ZPUk3aYOtKbZk1W4Kp6mfeays8.png,Lerche,JP
49937,/j14jwTsJj6ok9IkUFewX7acufKu.png,Good Deed Entertainment,US
38078,,Happy Hour Films,
112164,,Principal Film Finance,
38077,,Gaia Media,
128938,,Rakuten,
124842,,Producciones del Barrio,
41640,/e1naE79Djln19oDgMsP3uuvLbTq.png,Archer Gray,US
64416,,Langley Park Productions,
37209,,4 Cats Pictures,ES
29566,/wHbtRtUnXGNzX0riQIpq1fcgueq.png,Atresmedia,ES
27628,/8rluD2KhZHZbEOiAKW5qbBxyD0R.png,Bambú Producciones,ES
126568,,Mr. Fields and Friends,
25231,/q8aYQQd4eILlcgucbTPNu0o8Gte.png,See Pictures,AU
694,/5LEHONGkZBIoWvp1ygHOF8iyi1M.png,StudioCanal,FR
28473,,Shoebox Films,GB
114032,,Pioneer Stilking Films,GB
26409,,Every Cloud Productions,AU
105514,,Mad Ghost Productions,US
114152,,The Stone Quarry,US
9996,/3tvBqYsBhxWeHlu62SIJ1el93O7.png,Syncopy,GB
85334,,LUV Films,IN
8816,,Northern Lights Entertainment,US
3522,/d3u51JgEP5KwPfxS13ocqvtzZeX.png,T-Series,IN
81276,,Quinn's House,
