id,vote_average,vote_count,title,genre_id,overview,popularity,original_language,release_date,production_companies_id,homepage,imdb_id,revenue,tagline,similar_movie_id
685811,0.0,0,Day One,[18],A delicate and patient portrayal of what a woman's first day on her period can look like. 'Day One' is a film that works against period stigma by highlighting a very real experience consistently had by over half the population.,0.675,en,2020-03-23,[],https://vimeo.com/366625343/306fb0d042,tt11293076,0,,"[150540, 62177, 10555, 109445, 812, 326359, 613709, 20497, 8656, 9837, 9762, 391713, 126250, 427900, 296096, 370663, 457136, 382748, 133805, 216015, 296096, 346672, 80271, 391713, 11287, 512263, 133805, 216015, 83542, 126250, 634, 9023, 8359, 378064, 506554, 405774, 1359, 565310, 393519, 37135, 531428, 97630, 205015, 21385, 10647, 1631, 107257, 425972, 326923, 153, 51828, 35690, 8923, 5123, 445651, 10882, 38843, 10693, 76757, 140300, 515042, 140300, 76757, 11544, 175112, 10144, 299537, 321612, 466282, 49444, 95610, 377897, 527729, 9016, 638507, 41513, 14175, 127380, 437557, 487680, 10144, 175112, 76757, 515042, 127380, 23398, 140300, 460793, 437557, 458897, 11970, 3050, 10193, 495764, 62211, 576017, 257211, 1089, 9603, 11886]"
685813,0.0,0,A Key for the Kid,[18],A young mother finds a key that opens the door for her son’s escape.,0.6,en,2020-03-19,[],,,0,,[]
685814,7.5,2,Kill Chain: The Cyber War on America's Elections,[99],"In advance of the 2020 Presidential election, Kill Chain: The Cyber War on America's Elections takes a deep dive into the weaknesses of today's election technology, investigating the startling vulnerabilities in America's voting systems and the alarming risks they pose to our democracy.",1.818,en,2020-03-26,"[59552, 131553, 14914]",https://www.killchain.tv/,tt12041084,0,,"[521862, 84334, 9386, 421851, 10139, 101173, 9451, 982, 13003, 19833, 452226, 12219, 434178, 452093, 436167, 32117, 467181, 22479, 37722, 423224, 439128, 58383, 66775, 56156, 610023, 605193, 33792, 32046, 38052, 154699, 575602, 109539, 30906, 296241, 374816, 130365, 339773, 658531, 30322, 479426, 234838, 569101, 455235, 204044, 215318, 464403, 440858, 372345, 204473, 180817, 370158, 184353, 162135, 268898, 100887, 518273, 510784, 124837, 194939, 381568, 382491, 409340, 453531, 460217, 603197, 582345, 602532, 472761, 403285, 362461, 228429, 520710, 497436, 183383, 524664, 275136, 423871, 408294, 376078, 250060, 338984, 559138, 56218, 151077, 158964, 479695, 267747, 260301, 448517, 449170, 454413, 614548, 573787, 428949, 504636, 590167, 692781, 676794, 693196]"
685826,6.0,1,Watched,"[27, 9648]","When a young Journalist arrives at a BnB to stay the night, things aren't quite what they seem with the Owner.",0.6,en,2020-03-24,[],,,0,They say the eyes are the windows of the soul,[]
685833,0.0,0,What Happened at the Carpenter's Shop,[],"A rumour spread out all over the neighborhood. Yeon-joo, a beautiful, entertaining SNS celebrity, and also a woodworker is being watched and admired by Do-shik. He decides to ask her for a date one weekend. Do-shik appeared and grasped Yeon-joo without her noticing him. Meanwhile, the clueless, naïve, and honest bookkeeper of the carpenter shop is keeping two huge secrets no one would even thought of. Finally, the great secret of Yeon-joo and Tae-ju is revealed, turning the tables around.",1.4,ko,2020-03-05,[],,,0,,[]
685839,0.0,0,Tape 39,[],"Jangarh Singh Shyam, a famous Indian artist born in an isolated tribal village, committed suicide in a Japanese museum in 2001. I found on an old MiniDV tape the images of a trip I had undertaken in 2008, when I had gone looking for him in his native region.",0.6,en,2020-03-18,[],,,0,,[]
685841,0.0,0,"Other, Like Me",[99],"From performance art to deafening industrial music. The story of the pioneers Throbbing Gristle, told for the first time on film by the artists themselves.",0.661,en,2020-03-23,[],,,0,"The British industrial town Hull could hardly have a more appropriate name. It is a fitting place for a nihilistic avant-garde collective, which at the end of the 1970s aggressively confronted every conceivable taboo: sex, pornography, violence and self-mutilation. But COUM Transmissions was only the beginning. Led by the artists Genesis P-Orridge and Cosey Fanni Tutti., COUM became the visionary and utterly unruly industrial/noise band Throbbing Gristle, which was named 'the wreckers of civilisation' by a shocked conservative politician. The many rare archive clips speak for themselves.",[]
685888,0.0,0,Stela,"[18, 10751]","After an attempt of a suicide of a 11 year old bullied kid, Stela ""a shepherd dog"" is the only one that can get through him and restore his faith in life.",0.721,mk,2020-04-01,"[102396, 46293, 131036]",,tt7135058,0,This kid have some wounds. A dog can heal wounds. This kid needs a dog.,[]
685909,0.0,0,her* hands and his shape,[],In their dual screen 16 mm phantasmagoria the artists conjure past and future ghosts of women who made films politically. Their doubles appear intertwined with landscapes and objects that once haunted them and will continue to do so every time they are taken out of their suspended animation through the means of projection. There is no avoiding the ghosts in the machines. In moments of haunted liveness all is doomed to disappear and return in other shapes.,0.6,en,2020-03-25,[],,,0,,[]
685920,0.0,0,Sangha,[],"At a temple at the far ends of the earth, a committee of dogs maintain guardianship over an ancient force.",0.679,th,2020-03-26,[112446],,,0,,[]
685921,0.0,0,Garnet Graves,[10402],"The twisting, neon discomfort of body parts pulsates and trembles from the depths of the deepest ocean up to the cold and unforgiving vastness of space. Bones and tendons dislocate from performer Devours’s earthly queer vessel. A hand becomes the new building block of the universe: evolving from single cell, to fish, to mammal. Devours brings the genesis of a strange new planet of beard-based lifeforms.",0.688,en,2020-03-25,[],,,0,,[]
685922,0.0,0,Over/Under,[10402],A young woman's surreal escape transforms into an explosive game for two.,0.688,en,2020-03-25,[],,,0,,[]
685923,0.0,0,A New Kind of Universe,[10402],"Painted 16mm film, video feedback, and archival footage are animated and combined to create a journey forwards, happening one step at a time.",0.688,en,2020-03-25,[],,,0,,[]
685924,0.0,0,Tetlalli: the place of stones,[10402],"Through mist and stones, a setar player will embark on a journey from which he will not return.",0.6,en,2020-03-25,[],,,0,,[]
685926,0.0,0,For The Old World,[10402],"Located in the Dying Earth science fantasy genre, For the Old World imagines a future so remote it looks like the past. To the end of the earth or the end of time we go.",0.688,en,2020-03-25,[],,,0,,[]
685927,0.0,0,Drama Teacher,[10402],"Lyrically frank and provocative, “Drama Teacher” by Annie Enneking is a true story about power dynamics and abuse between student and teacher. Multiple women filed lawsuits against this same perpetrator and have garnered more than 6 million dollars in judgments to date. He has yet to appear in court and no money has been collected from him because he continues to be on the run from the law.",0.688,en,2020-03-25,[],,,0,,[]
685928,0.0,0,I Work!,[10402],"An animated music video for the band Throwaway’s song, I Work! created by artist and musician Ben Willis, featuring the Throwaway character created by Kirsten Carey. Part lyric video, part Jungian alternate universe wormhole, this frantic exploration of the song goes by pretty quick.",0.688,en,2020-03-25,[],,,0,,[]
685929,0.0,0,Sent From Above,[35],"A tightwad bought a luxury house just for selling it at the higher price. However, someday, a corpse appeared in the house...",0.6,zh,2020-01-23,[73451],,tt11802966,0,,[]
685930,0.0,0,Mountain,[10402],"The video takes the viewer on a journey of visual enjoyment and self-reflection, one of re-connection with the elements of nature through various carefully composed land art pieces.",0.688,en,2020-03-25,[],,,0,,[]
