id,vote_average,vote_count,title,genre_id,overview,popularity,original_language,release_date,production_companies_id,homepage,imdb_id,revenue,tagline
700265,0.0,0,"Park Ara, Born 1982",[10749],"Park Ara, who grew up being teased for her dirty name decides to let her name be known to the world. Ara takes nude photos while working part-time at the studio and when her photos leaked, she accused the staff working in the studio. The accused staff commits suicide while under investigation, and Ara comes under harsh public scrutiny. Ara, who debuts as a filmmaker by making a film retelling the injustices she went through, is also suspected of sexually assaulting her own actress...",3.842,ko,2020-05-08,[],,,0,The woman in the Studio Chulsa sexual harrassment case becomes a movie director!
635918,0.0,0,Dating Amber,"[35, 18]","Dating Amber is a poignant, honest and funny look at the highs and lows of teenage life where the only way to fit in is to not be yourself, even if this goes against your very being. Set in Ireland during the mid-90’s, Eddie and Amber (both 17) are in the closet about their sexuality and decide to stage a relationship in order to stop everyone speculating. Eddie is keen to follow his Dad into the military, while Amber dreams of moving to the liberal hub of London. However, their ‘ideal’ arrangement begins to fall apart, forcing Eddie deeper into denial as Amber realises that a perilous future awaits her best friend unless she intervenes. Beards is a love letter to all those kids who grew up in a small town and who needed to escape in order to be themselves.",2.731,en,2020-06-04,"[93986, 19638]",http://www.altitudefilment.com/film/sales/69/beards,tt7886936,0,
660033,8.8,12,Jak zostałem gangsterem. Historia prawdziwa,"[18, 80]",,4.318,pl,2020-01-02,"[133440, 46346]",,tt10804178,0,
611808,0.0,0,Petit Pays,[18],,2.734,fr,2020-05-06,[114124],,tt9665968,0,
631884,0.0,0,Happy Suicide,[53],A woman wants to protect her lover from a horrible secret and she makes a decision to protect him and his child even if she lost her own life because she thought that is love unconditionally.,3.416,en,2020-12-11,"[955, 89403]",,tt7418180,0,
544398,6.5,18,Man Up!,"[18, 35]","Tom, 16, is a sensitive teenager who is about to enter a new high school after being expelled. He intends to find his place, make friends and seduce the girl he loves. Tom needs the support of his older brother, Leo, a true mentor, who is working to make him a “cool kid”. However, Leo's fraternal benevolence hides a destructive temperament... Will Tom be able to grow up finding his own path?",3.403,fr,2020-01-08,"[99532, 7694, 83, 108130, 11199]",,tt9172490,0,
678373,0.0,0,The Desert Project,"[35, 53, 878]",Ida and her friend Rachael return to Ida's house after a harrowing day in the desert where their film-crew friends vanish. Through some quirk in technology it appears they went back in time where Ida's then 20-year-old father kills a crew member during a fight. Ida takes Rachael to her father's workshop where they look at an old 16mm black-and-white film that captures the fragments of events from that day... a 37 years ago.,4.06,en,2020-08-06,[129800],,tt11182546,0,
606787,0.0,0,One Half of Me,[18],"Jaana is a restaurant owner and mother of two, who spends her free time riding. Jaana lives with her charismatic, but short-tempered partner Marko. Jaana's life changes in a flash when she becomes paralyzed in a serious accident.",5.098,fi,2020-03-13,[78981],,tt9777796,0,
615681,0.0,0,Carmen Sandiego,"[28, 12, 10751]",A live-action feature film based on Carmen Sandiego.,3.919,en,2020-12-01,"[114726, 11581]",,tt2108659,0,
549514,0.0,0,Fatale,[53],A married man is tricked into a murder scheme by a female police detective.,2.688,en,2020-10-30,[102809],,tt8829830,0,
548170,5.0,1,Guest of Honour,[18],"Jim and his daughter Veronica, a young high-school music teacher, attempt to unravel their complicated histories and intertwined secrets. After a hoax goes very wrong, Jim's daughter is falsely convicted of abusing her position of authority over 17-year-old Clive. Veronica is nevertheless convinced she deserves to be punished, but for much earlier crimes. Confused and frustrated by Veronica’s intransigence, Jim's anguish begins to impinge on his job as a food inspector. He wields great power over small family-owned restaurants; a power he doesn't hesitate to use.",2.943,en,2020-03-26,"[82552, 12800, 22884, 20881]",,tt9143636,0,
653584,0.0,0,Surge,[18],"A man goes on a bold and reckless journey of self-liberation through London. After he robs a bank he releases a wilder version of himself, ultimately experiencing what it feels like to be alive.",4.572,en,2020-06-25,[20277],,tt9305634,0,
629176,0.0,0,Samaritan,"[53, 80]","A young boy sets out to discover whether a mythic superhero, who vanished 20 years earlier following a tragic event, is still alive.",4.913,en,2020-12-09,"[14571, 21]",,tt5500218,0,
702829,0.0,0,UFC 249 Early Prelims,[28],UFC 249 Early Prelims 170 lbs.: Vicente Luque vs. Niko Price 145 lbs: Bryce Mitchell vs. Charles Rosa 185 lbs.: Sam Alvey vs. Ryan Spann,3.102,en,2020-05-10,[127956],https://www.ufc.com/,,0,UFC 249 Early Prelims
661336,5.5,6,Love in Store,"[10749, 10770, 18]",Two rival home shopping hosts are forced together while competing for a promotion. Along the way they find their on-air chemistry kindles an off-air spark.,4.71,en,2020-02-22,[],https://www.hallmarkchannel.com/love-in-store,tt10606866,0,
704264,7.0,1,Primal: Tales of Savagery,"[28, 12, 16]","Genndy Tartakovsky's Primal: Tales of Savagery features a caveman and a dinosaur on the brink of extinction. Bonded by tragedy, this unlikely friendship becomes the only hope of survival.",5.32,en,2020-01-07,"[7899, 6760]",,tt11191124,0,
624782,8.0,2,VHYes,"[27, 35]","This bizarre retro comedy, shot entirely on VHS and Beta, takes us back to when 12-year-old Ralph, over one formative week, mistakenly records home videos and his favorite late night shows over his parents’ wedding tape.",5.272,en,2020-01-12,[4748],https://vhyes.oscilloscope.net/,tt10287376,0,
594139,6.6,17,Darbar,"[28, 18, 53]",A police officer on a chase to hunt down a dreaded gangster for fulfilling his own secret agenda.,4.217,ta,2020-01-08,[35124],,tt9635540,0,
541922,1.0,1,Urban Myths,[53],"A group of high school seniors embark on a spring break camping trip to investigate the myths they had been researching and learning from their History teacher. During their trip, they stumble on an old haunted Indian Burial ground and get more than they bargained for when some of the group start to vanish. This film showcases some of the best that Northern Michigan has to offer, along with an all-star cast.",4.638,en,2020-04-15,[132268],http://urbanmythsmovie.com/,tt3316122,0,
501495,4.0,1,Greenlight,[53],"When Jack Archer (Chase Williamson) gets the opportunity to finally direct a feature-length film, he doesn’t expect sleazy producer Bob Moseby (Chris Browning) to ask him to film a real murder! With his own life on the line and the days counting down, Jack doesn’t know how to do what’s right and save himself.",2.815,en,2020-02-25,[],,tt6798766,0,A director’s dream job has just become his worst nightmare.
623266,0.0,0,The Artist's Wife,[18],"Claire, happily married to famed artist Richard, notices changes in her husband’s behaviour as his final art show approaches. When Richard is diagnosed with Alzheimer’s disease, Claire and her husband find their bonds thoroughly tested. Her husband’s struggle to stay connected to who he once was is frightening, heartbreaking, and inspiring.",5.179,en,2020-07-09,[],,tt5806558,0,
558582,8.0,4,First Cow,"[18, 36]","A taciturn loner and skilled cook has traveled west and joined a group of fur trappers in Oregon Territory, though he only finds true connection with a Chinese immigrant also seeking his fortune; soon the two collaborate on a successful business, although its longevity is reliant upon the clandestine participation of a nearby wealthy landowner’s prized milking cow.",2.932,en,2020-03-06,[1976],http://firstcow.movie,tt9231040,0,
682820,0.0,0,Greek Gossip,"[35, 18, 14, 10749]","In a world where Greek mythology is a reality, a lonely reporter finds his morals swayed by his desperation for affection.",3.427,en,2020-11-01,[],,tt10951024,0,a comedy.
443018,0.0,0,Powerbomb,"[18, 27, 53]",An obsessive fan kidnaps his favorite up-and-coming wrestling star.,4.249,en,2020-04-07,"[53833, 39715]",http://www.turnstylefilms.com,tt6782632,0,
579647,8.0,2,One Breath,[18],"Following her divorce, Marina Gordeeva (40) thinks she'll never meet love again. Little does she know that one day, she'll find the love of her life in free diving, one of the most extreme sports in existence, built on diving as deep as possible on a single breath. Marina demonstrates her amazing talents, yet it's her weak points that hold her back from winning the competition. Marina can't leave behind her life-baggage. As she plunges to the ocean depths, her subconscious fears resurface as harrowing visions. In a sport where everything depends on mind control, one bad thought is enough to lose it all. In the vast, mysterious realm of the sea, Marina not only regains her sense of peace and well being, but also redefines her existence.",4.117,ru,2020-03-05,[114304],,tt8291918,0,
700179,8.0,2,Deadly Mile High Club,[53],"Obsessed with a handsome student, a deranged flight instructor tries to destroy the people in his life and make him fall in love with her.",3.949,en,2020-05-02,[],https://www.mylifetime.com/movies/deadly-mile-high-club,tt12014538,0,
669672,7.0,2,Sulphur and White,[18],"David is a successful city trader in London who is relentlessly focused on work. Beneath the confident facade, he is trapped by memories of the past and hostile to anyone who dares to help. Flashbacks reveal a childhood in South Africa at the mercy of an inadequate bully of a father Donald and an ineffectual mother Joanne. The physical and sexual abuse he suffered threatens any chance of happiness he might have now.",4.098,en,2020-02-28,[],,tt7334158,0,
693839,0.0,0,DAU. Nikita Tanya,[18],"Within the top secret Institute of Physics Problems, the scientist Nikita Nekrasov is visited by his wife and small children. While away from his family the physicist has managed to fall in love with other women. In open conversations with his spouse – in the bedroom, the dining room, and while out walking – he attempts to convince her of the legitimacy of polygamous relationships, and to test the limits of her unconditional love.",3.419,ru,2020-05-12,"[106438, 132266, 123308]",,tt11909040,0,
696357,0.0,0,Pinky,[14],"When Pinky discovers that he has the power to read the energy of others, he starts to see people for who they truly are. Which makes life, and losing his virginity, a lot more interesting.",3.012,en,2020-06-29,[],,tt9662722,0,
651534,0.0,0,Enter The Girl Dragon,[],"""India’s First Martial Arts Film""",4.392,en,2020-12-31,[],,,0,
613339,5.8,5,SOL,[35],,2.237,fr,2020-01-08,"[120373, 104, 10611, 694]",,tt11281142,0,
623926,6.6,20,Hasta que la boda nos separe,[35],,5.101,es,2020-02-14,"[29566, 109818]",,tt9519642,0,
670334,0.0,0,11 barev ptáčete,[99],,3.717,cs,2020-05-11,[],,,0,
700814,0.0,0,Prurient,[],"A poem about sex work in the age of COVID to the music of Handel. Let me weep over my cruel fate, and let me sigh for liberty.",3.414,en,2020-05-12,[],,,0,
703196,0.0,0,The Conversations of Donkey and Rabbit,[35],"In “Spaces #3”, 7 internationally acclaimed directors shot, after commissioning by the Thessaloniki International Film Festival, a short film at home, making their own timely comment on the new reality that we live in. The project is inspired by the book “Species of Spaces” by the French novelist, filmmaker, documentalist, and essayist, Georges Perec and the days of quarantine. The idea is to create a film at home, using the environment, the people or the animals in that space. The only outdoor areas that may be used are outdoor living spaces, such as the terrace, the garden, the balcony and the stairwell. “The Conversations of Donkey and Rabbit” is Ildikó Enyedi’s submission.",3.163,en,2020-05-12,[],https://www.filmfestival.gr/en/stay-home/spaces3,,0,
692959,0.0,0,Domiciled Pests,[18],"While eating dinner, Charlie reminisces, but is soon interrupted by a new abundance of flies that are invading his house. With his needy mother pushing him to the edge, Charlie must take matters into his own hands, which could inadvertently be the cause of his unwanted pest problem.",3.458,en,2020-07-04,[],,,0,
658061,0.0,0,A One Crow World,[],"A dramatic and experimental journey that touches upon different subject matters like love, friendship, the mind and life. It features an ensemble cast.",5.188,en,2020-06-30,[69920],,tt11368494,0,
